Date,Source,City,CampaignId,Visitors,Bookings,Revenue
2024-01-01,GetYourGuide,Rome,col-menu,1250,42,5040
2024-01-01,Viator,Rome,hr-home,980,31,3720
2024-01-01,Tickets.com,Paris,,850,28,3360
2024-01-02,GetYourGuide,Rome,col-menu,1340,45,5400
2024-01-02,Viator,Paris,hr-home,1020,35,4200
2024-01-02,Tickets.com,Barcelona,,920,30,3600
2024-01-03,GetYourGuide,Paris,col-menu,1420,48,5760
2024-01-03,Viator,Barcelona,hr-home,1100,38,4560
2024-01-03,Tickets.com,Rome,,980,33,3960
2024-01-04,GetYourGuide,Barcelona,col-menu,1500,51,6120
2024-01-04,Viator,Rome,hr-home,1180,41,4920
2024-01-04,Tickets.com,Paris,,1040,36,4320
2024-01-05,GetYourGuide,Rome,col-menu,1580,54,6480
2024-01-05,Viator,Paris,hr-home,1260,44,5280
2024-01-05,Tickets.com,Barcelona,,1100,39,4680
2024-01-06,GetYourGuide,Paris,col-menu,1660,57,6840
2024-01-06,Viator,Barcelona,hr-home,1340,47,5640
2024-01-06,Tickets.com,Rome,,1160,42,5040
2024-01-07,GetYourGuide,Barcelona,col-menu,1740,60,7200
2024-01-07,Viator,Rome,hr-home,1420,50,6000
2024-01-07,Tickets.com,Paris,,1220,45,5400
